organisationID,shortName,ISTAT_code,NUTS3,region_code,region,lon,lat
999468892,ARPA PIEMONTE,001272,ITC11,1,Piemonte,45.02923735,7.65549949049271
999968733,UNINFO,001272,ITC11,1,Piemonte,45.0671308,7.653889
938135113,AgriNewTech,001272,ITC11,1,Piemonte,45.0709201,7.685972
911388721,ASSOCIAZIONE ORTIALTI,001272,ITC11,1,Piemonte,45.13398,7.7749935
935219293,CSP,001272,ITC11,1,Piemonte,45.0645761,7.6730825
947647418,NA,001272,ITC11,1,Piemonte,45.0642606,7.5816224
999738067,UCP,001272,ITC11,1,Piemonte,45.1008361,7.53027617471295
906325321,NIMBLE ROBOTICS,001272,ITC11,1,Piemonte,45.0899696,7.678933
983850243,K3D,001272,ITC11,1,Piemonte,45.0502511,7.6691335
991745946,SMAT S.p.A.,001272,ITC11,1,Piemonte,45.0677551,7.6824892
898654658,NA,001272,ITC11,1,Piemonte,45.0275038,7.6490245
986538792,CITTA DI TORINO,001272,ITC11,1,Piemonte,45.0731053,7.6810397
935432208,ECU,001272,ITC11,1,Piemonte,45.0677551,7.6824892
938857763,SMARTPATCH,001272,ITC11,1,Piemonte,45.07370795,7.56905963599173
906381775,FEV,001272,ITC11,1,Piemonte,45.0673057,7.6557273
936843946,OMT S.P.A.,001272,ITC11,1,Piemonte,45.0733097,7.6740221
940528006,SynArea,001272,ITC11,1,Piemonte,45.0706024,7.7074738
953873945,IZSPLVA,001272,ITC11,1,Piemonte,45.0821805,7.69537233913444
937891643,PHITEC ING,001272,ITC11,1,Piemonte,45.0591201,7.6810662
897334003,NA,001272,ITC11,1,Piemonte,45.0645761,7.6730825
930427590,OFFINN,001272,ITC11,1,Piemonte,45.050227,7.6696319
998140477,CCA,001272,ITC11,1,Piemonte,45.0620296,7.67844134094572
908662148,FISI,001272,ITC11,1,Piemonte,45.1926899,7.8936936
999746894,CONFIPIE.,001272,ITC11,1,Piemonte,45.0650223,7.6673685
899421152,Heatile Srl,001272,ITC11,1,Piemonte,45.4652871,9.1811022
936437031,DIGISKY,001272,ITC11,1,Piemonte,45.0572573,7.6693229
985914306,4S SRL,001272,ITC11,1,Piemonte,45.0634421,7.6532553
911297735,ORTI GENERALI APS,001272,ITC11,1,Piemonte,45.0300652,7.3379556
999700722,RBK,001272,ITC11,1,Piemonte,45.067133,7.6880412
897037668,NA,001272,ITC11,1,Piemonte,45.0657022,7.6595726
999953116,I.S.I,001272,ITC11,1,Piemonte,44.9793872,7.390684
896819709,NA,001272,ITC11,1,Piemonte,45.0693211,7.6667924
910551514,AIKO,001272,ITC11,1,Piemonte,45.0651143,7.6577154
935847368,ERPlan,001272,ITC11,1,Piemonte,45.0677551,7.6824892
897574854,NA,001272,ITC11,1,Piemonte,45.0555087,7.6813561
935414360,OSAI AUTOMATION SYSTEM,001272,ITC11,1,Piemonte,45.0849184,7.6594509
905600634,NA,001272,ITC11,1,Piemonte,45.0655665,7.6854859
898195751,TPM,001275,ITC11,1,Piemonte,44.8208196,7.2243488
922448564,TECNOL,006174,ITC18,1,Piemonte,44.88647935,8.853605199379462
952873584,.,006174,ITC18,1,Piemonte,44.893967849999996,8.817172078250401
897497642,NA,006174,ITC18,1,Piemonte,42.6384261,12.674297
927379656,Tiessepi srl,006174,ITC18,1,Piemonte,44.9001637,8.8674097
953994322,INGEG S.R.L,006174,ITC18,1,Piemonte,44.8859212,8.8559552
937812200,IBP,006174,ITC18,1,Piemonte,44.88647935,8.85360519937946
937082178,CCE - BIRLA,003149,ITC15,1,Piemonte,45.4328011,8.746806
924113569,FIRING,002152,ITC12,1,Piemonte,45.7720682,8.3505064
915182779,PLYFORM,003154,ITC15,1,Piemonte,45.6741184,8.6167824
914343729,CoV,001292,ITC11,1,Piemonte,45.1324384,7.6319714
999905392,UPO,002158,ITC12,1,Piemonte,45.327602,8.4243767
936577778,IS,004242,ITC16,1,Piemonte,44.3744419,7.8725517
989432011,DOMINA,096077,ITC13,1,Piemonte,45.5542867,8.06840818213207
944145039,SYCO S.A.S.,001302,ITC11,1,Piemonte,45.045145,7.468418
896730469,NA,001302,ITC11,1,Piemonte,42.6384261,12.674297
916528557,ALFAPRESS,001304,ITC11,1,Piemonte,45.310056,7.976624
956736318,ADLER EVO Srl,001310,ITC11,1,Piemonte,44.864541,7.570123
912045314,OFB,001314,ITC11,1,Piemonte,45.195786,7.7820544
896853465,KI IT,001314,ITC11,1,Piemonte,42.6384261,12.674297
930493938,REGION AUTONOME VALLEE D'AOSTE,007003,ITC20,2,Valle d'Aosta/Vallée d'Aoste,45.7370885,7.3196649
951031069,CERVIM,007008,ITC20,2,Valle d'Aosta/Vallée d'Aoste,42.6384261,12.674297
927607800,8B SRL,007019,ITC20,2,Valle d'Aosta/Vallée d'Aoste,45.7278887,7.3379276
911132835,DIMENSIONE ING.,007019,ITC20,2,Valle d'Aosta/Vallée d'Aoste,42.6384261,12.674297
940702703,Ad Hoc 3D Solutions s.r.l.,007031,ITC20,2,Valle d'Aosta/Vallée d'Aoste,42.6384261,12.674297
905626727,CCS AOSTA SRL,007054,ITC20,2,Valle d'Aosta/Vallée d'Aoste,45.7409575,7.4143619
998193439,AUTOMATION SRL,015002,ITC4C,3,Lombardia,45.3819021,8.9232838
999977657,ST-I,108001,ITC4D,3,Lombardia,45.5762329,9.3524409
940695816,FUTURE ENERGY,108001,ITC4D,3,Lombardia,45.5761735,9.3509475
899702355,LAM,108001,ITC4D,3,Lombardia,42.6384261,12.674297
913133072,CIA,108003,ITC4D,3,Lombardia,45.6573443,9.2486324
934936635,SINERGIA,016004,ITC46,3,Lombardia,45.77902935,9.822241488623094
970472488,LAMBERTI,012002,ITC41,3,Lombardia,45.727461,8.8064405
998795615,AGF,017004,ITC47,3,Lombardia,42.6384261,12.674297
911043013,Tekna Srl,012003,ITC41,3,Lombardia,45.7735278,8.592321
957516489,ADS,097003,ITC43,3,Lombardia,45.8467964,9.3607051
998307220,SAATI,013010,ITC42,3,Lombardia,45.728365,8.9829102
901602585,REYS,108004,ITC4D,3,Lombardia,42.6384261,12.674297
937133879,ITALMATCH,015009,ITC4C,3,Lombardia,45.532437349999995,9.09183471647403
907807093,SELT,015009,ITC4C,3,Lombardia,45.532437349999995,9.09183471647403
