from,to,weight,LOC,NACE_group,PG
221,18,2.3326488706365502,UDINE,MAN,ENG
222,91,0.7665982203969883,UDINE,MAN,ENG
185,18,0.4763860369609856,UDINE,MAN,ENG
199,18,0.6598220396988365,UDINE,MAN,ENG
134,18,0.24914442162902123,UDINE,MAN,ENG
58,778,2.102669404517454,Coast,MAN,MAN
12,91,0.4106776180698152,UDINE,MAN,ENG
74,18,3.597535934291581,UDINE,MAN,ENG
41,18,1.596167008898015,UDINE,MAN,ENG
182,18,3.0006844626967832,UDINE,MAN,ENG
58,18,1.5277207392197123,UDINE,MAN,ENG
49,18,0.9965776865160848,UDINE,MAN,ENG
91,18,3.055441478439425,UDINE,MAN,ENG
41,91,3.060917180013689,UDINE,MAN,ENG
223,18,0.2874743326488706,UDINE,MAN,ENG
224,18,2.806297056810404,UDINE,MAN,ENG
225,12,0.49007529089664614,UDINE,MAN,ENG
226,18,1.6427104722792607,UDINE,MAN,ENG
40,18,0.5475701574264202,UDINE,MAN,ENG
227,91,0.6242299794661191,UDINE,MAN,ENG
228,18,1.5578370978781657,UDINE,MAN,ENG
154,18,4.008213552361396,UDINE,MAN,ENG
12,91,0.432580424366872,UDINE,MAN,ENG
8,18,0.24914442162902123,UDINE,MAN,ENG
12,91,0.5311430527036276,UDINE,MAN,ENG
225,91,2.0917180013689256,UDINE,MAN,ENG
9,18,3.425051334702258,UDINE,MAN,ENG
40,91,3.345653661875428,UDINE,MAN,MAN
12,91,0.2600958247775496,UDINE,MAN,ENG
229,91,0.8952772073921971,UDINE,MAN,ENG
22,18,0.5776865160848734,UDINE,MAN,ENG
73,18,1.3305954825462012,UDINE,MAN,ENG
92,18,4.421629021218344,UDINE,MAN,ENG
230,18,1.566050650239562,UDINE,MAN,ENG
231,18,2.754277891854894,UDINE,MAN,ENG
232,18,2.21492128678987,UDINE,MAN,ENG
187,91,1.4893908281998631,UDINE,MAN,MAN
233,18,0.5229295003422314,UDINE,MAN,ENG
234,18,1.5085557837097878,UDINE,MAN,ENG
235,18,1.9931553730321696,UDINE,MAN,ENG
8,91,0.2464065708418891,UDINE,MAN,ENG
163,18,1.8151950718685832,UDINE,MAN,ENG
12,18,0.5010266940451745,UDINE,MAN,ENG
236,91,0.8158795345653662,UDINE,MAN,ENG
185,18,5,UDINE,MAN,ENG
5,18,1.5852156057494866,UDINE,MAN,ENG
5,18,0.4161533196440794,UDINE,MAN,ENG
